Test Number,VPN Server,IP Before,IP After,Download Before (Mbps),Download After (Mbps),Upload Before (Mbps),Upload After (Mbps),Ping Before (ms),Ping After (ms),Server Info Before,Server Info After
Test #1,France #548,78.61.153.13,,91.46,,93.16,,13.08,,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 13.078}",
Test #2,Canada #1628,78.61.153.13,45.88.190.80,91.76,55.0,93.69,12.69,12.29,135.3,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 12.294}","{'url': 'http://speedtest.altimatel.com:8080/speedtest/upload.php', 'lat': '45.5017', 'lon': '-73.5673', 'name': 'Montréal, QC', 'country': 'Canada', 'cc': 'CA', 'sponsor': 'Altima Telecom', 'id': '38690', 'host': 'speedtest.altimatel.com:8080', 'd': 1.7880855897304244, 'latency': 135.304}"
Test #3,Germany #1098,78.61.153.13,5.180.61.22,91.47,83.85,93.92,82.43,13.4,51.21,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 13.403}","{'url': 'http://speedtest.drahtlos-dsl.de:8080/speedtest/upload.php', 'lat': '51.3397', 'lon': '12.3731', 'name': 'Leipzig', 'country': 'Germany', 'cc': 'DE', 'sponsor': 'Drahtlos-DSL GmbH Mittelsachsen', 'id': '38032', 'host': 'speedtest.drahtlos-dsl.de:8080', 'd': 149.119045143369, 'latency': 51.209}"
Test #4,Canada #1609,78.61.153.13,185.213.80.57,91.91,63.63,93.89,13.64,11.8,137.62,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 11.799}","{'url': 'http://slrmpqfh-speedtest-01.telus.com:8080/speedtest/upload.php', 'lat': '45.5017', 'lon': '-73.5673', 'name': 'Laval, QC', 'country': 'Canada', 'cc': 'CA', 'sponsor': 'TELUS', 'id': '14021', 'host': 'slrmpqfh-speedtest-01.telus.com:8080', 'd': 1.7880855897304244, 'latency': 137.625}"
Test #5,Germany #1077,78.61.153.13,5.180.61.188,91.91,80.34,94.07,78.59,9.55,50.33,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 9.553}","{'url': 'http://speedtest.drahtlos-dsl.de:8080/speedtest/upload.php', 'lat': '51.3397', 'lon': '12.3731', 'name': 'Leipzig', 'country': 'Germany', 'cc': 'DE', 'sponsor': 'Drahtlos-DSL GmbH Mittelsachsen', 'id': '38032', 'host': 'speedtest.drahtlos-dsl.de:8080', 'd': 149.119045143369, 'latency': 50.327}"
Test #6,Canada #1552,78.61.153.13,185.193.64.239,92.14,62.37,94.02,19.38,12.08,135.17,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 12.08}","{'url': 'http://speed.cronomagic.com:8080/speedtest/upload.php', 'lat': '45.5017', 'lon': '-73.5673', 'name': 'Montréal, QC', 'country': 'Canada', 'cc': 'CA', 'sponsor': 'CRONOMAGIC', 'id': '10227', 'host': 'speed.cronomagic.com:8080', 'd': 1.7880855897304244, 'latency': 135.17}"
Test #7,France #873,78.61.153.13,,92.1,,93.96,,9.45,,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 9.446}",
Test #8,United Kingdom #1836,78.61.153.13,193.203.14.114,92.12,83.39,93.92,75.9,10.61,53.23,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 10.613}","{'url': 'http://sp1-1.uk.cxn-network.net:8080/speedtest/upload.php', 'lat': '53.7457', 'lon': '-0.3367', 'name': 'Hull', 'country': 'United Kingdom', 'cc': 'GB', 'sponsor': 'Connexin Ltd', 'id': '10916', 'host': 'sp1-1.uk.cxn-network.net:8080', 'd': 249.31825917121336, 'latency': 53.235}"
Test #9,France #873,78.61.153.13,,91.97,,94.04,,13.05,,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 13.048}",
Test #10,Germany #1085,78.61.153.13,194.233.96.124,91.85,61.39,93.69,79.69,12.45,56.95,"{'url': 'http://speedtestnet.fastlink.lt:8080/speedtest/upload.php', 'lat': '54.6833', 'lon': '25.2833', 'name': 'Vilnius', 'country': 'Lithuania', 'cc': 'LT', 'sponsor': 'FASTLINK', 'id': '39694', 'host': 'speedtestnet.fastlink.lt:8080', 'd': 0.8852096312078923, 'latency': 12.446}","{'url': 'http://speedtest.drahtlos-dsl.de:8080/speedtest/upload.php', 'lat': '51.3397', 'lon': '12.3731', 'name': 'Leipzig', 'country': 'Germany', 'cc': 'DE', 'sponsor': 'Drahtlos-DSL GmbH Mittelsachsen', 'id': '38032', 'host': 'speedtest.drahtlos-dsl.de:8080', 'd': 149.119045143369, 'latency': 56.955}"
